iter	Logloss
0	0.6931112999
1	0.6930919188
2	0.6930638993
3	0.6930278954
4	0.6930088372
5	0.6929780663
6	0.6929555896
7	0.6929256335
8	0.6929110987
9	0.6928961527
10	0.6928741812
11	0.692854288
12	0.6928350053
13	0.6928167801
14	0.6927954346
15	0.6927702052
16	0.6927484654
17	0.6927414416
18	0.6927236892
19	0.6927001218
20	0.6926799964
21	0.6926673475
22	0.6926578142
23	0.69263982
24	0.692620197
25	0.6926040574
26	0.6925823571
27	0.6925791623
28	0.6925653932
29	0.6925479494
30	0.6925267898
31	0.6925163416
32	0.6925009396
33	0.6924956457
34	0.6924877108
35	0.6924565886
36	0.6924483209
37	0.6924374211
38	0.6924148391
39	0.6924144801
40	0.6924097813
41	0.6924018215
42	0.6923923018
43	0.6923800282
44	0.692376861
45	0.6923735873
46	0.6923697705
47	0.692358789
48	0.6923550087
49	0.6923463418
50	0.6923261233
51	0.6923236021
52	0.6923119141
53	0.6922951306
54	0.6922870811
55	0.6922806545
56	0.6922766484
57	0.6922647106
58	0.6922558918
59	0.6922499224
60	0.6922482787
61	0.6922446725
62	0.6922418156
63	0.6922400405
64	0.6922366328
65	0.6922291171
66	0.6922135783
67	0.6921985731
68	0.69219473
69	0.6921822212
70	0.6921749341
71	0.6921676732
72	0.6921522611
73	0.6921438166
74	0.6921346359
75	0.692132509
76	0.6921112269
77	0.6920985705
78	0.6920929531
79	0.6920882345
80	0.6920807265
81	0.6920766794
82	0.6920679565
83	0.6920629982
84	0.6920579042
85	0.6920515881
86	0.6920396355
87	0.6920310113
88	0.6920170001
89	0.6920125076
90	0.6920088639
91	0.6919966462
92	0.6919858599
93	0.6919821942
94	0.6919740134
95	0.6919664729
96	0.6919631084
97	0.6919593477
98	0.691956031
99	0.6919538005
100	0.6919490644
101	0.6919408702
102	0.6919371245
103	0.6919344486
104	0.6919309502
105	0.6919266185
106	0.6919185838
107	0.6919072141
108	0.6919049214
109	0.6919022736
110	0.691895359
111	0.6918788656
112	0.6918677509
113	0.6918612074
114	0.6918579016
115	0.6918581625
116	0.6918534857
117	0.691851105
118	0.6918386066
119	0.6918381285
120	0.6918360563
121	0.6918355054
122	0.6918273029
123	0.6918231402
124	0.6918113325
125	0.6918063084
126	0.6917999217
127	0.691790953
128	0.6917842179
129	0.6917829542
